majorSeq,schoolName,majorName
10142,울산과학기술원,새내기학부(이공계열)
10142,울산대학교,공학계열
10142,광주대학교,공과대학
10142,송원대학교,자율전공학과
10142,전남대학교,자율전공학부
10142,가톨릭대학교,자유전공학과(공학)
10142,가톨릭대학교,ICT공학계열
10142,단국대학교,공과대학
10142,대진대학교,AI융합학부
10142,명지대학교 자연캠퍼스,융합공학부
10142,명지대학교 자연캠퍼스,전공자유학부(자연)
10142,성균관대학교,공과대학
10142,성균관대학교,공학계열
10142,아주대학교,융합시스템공학과
10142,한경국립대학교,AI융합학부
10142,한국공학대학교,디자인공학부
10142,한국공학대학교,지식융합학부
10142,한국항공대학교,자유전공학부(공학계열)
10142,한국항공대학교,공학계열
10142,한신대학교,AIㆍSW계열
10142,한양대학교 ERICA캠퍼스,창의융합교육원(공학)
10142,가톨릭관동대학교,자율전공학부
10142,강원대학교,생명건강공학전공
10142,강원대학교,생명건강공학과
10142,한라대학교,융합교육학부
10142,건국대학교 글로컬캠퍼스,자율전공학부
10142,서원대학교,융복합대학
10142,중원대학교,자율전공학부
10142,건양대학교,심리상담치료학과
10142,선문대학교,기초공학부
10142,선문대학교,공과대학
10142,선문대학교,산학협력교육학부
10142,순천향대학교,융합창업학부
10142,유원대학교,블루밍넥스트학부
10142,청운대학교,자율전공학부
10142,한국기술교육대학교,융합학과
10142,한국기술교육대학교,공학
10142,국립군산대학교,자율전공학부
10142,원광대학교,자율전공학부
10142,전북대학교,국제이공학부
10142,전북대학교,융합기술공학부
10142,전북대학교,교양학부(공학계열)
10142,전북대학교,융합기술공학부(IT응용시스템공학전공)
10142,전주대학교,공학1계열
10142,전주대학교,공학4계열
10142,전주대학교,공학3계열
10142,전주대학교,공학2계열
10142,국립목포대학교,건축 ㆍ 토목 ㆍ 환경공학부
10142,국립목포대학교,자율전공학부
10142,국립목포대학교,미래사회공학부
10142,경운대학교,미래산업융합계열
10142,경일대학교,첨단산업학부
10142,경일대학교,자율전공학부
10142,국립경국대학교,창의융합학부(이공계열)
10142,국립금오공과대학교,디자인공학전공
10142,대구가톨릭대학교,공무원ㆍ공기업학과
10142,대구가톨릭대학교,자율전공학부
10142,대구대학교,공과대학
10142,대구한의대학교,자율전공학부
10142,동국대학교 WISE캠퍼스,창의융합공학부
10142,동국대학교 WISE캠퍼스,글로컬혁신공학부
10142,위덕대학교,자율전공학부
10142,포항공과대학교,단일계열
10142,한동대학교,AI융합교육원(공학)
10142,한동대학교,창의융합교육원(공학)
61,서울시립대학교,교통공학과
61,영산대학교,교통공학과
61,영산대학교,드론교통공학과
61,배재대학교,드론・철도・건설시스템공학과
61,우송대학교,철도시스템학부 철도전기시스템전공
61,우송대학교,철도건설시스템학부 글로벌철도학과
61,우송대학교,철도차량시스템학과
61,우송대학교,철도시스템학부 철도소프트웨어전공
61,계명대학교,교통공학전공
61,계명대학교,교통공학과
61,송원대학교,철도차량・전기시스템학과
61,송원대학교,철도운전시스템학과
61,송원대학교,철도운전경영학과
61,송원대학교,철도운전・관제시스템학과
61,경기대학교,도시・교통공학과
61,국립한국교통대학교,철도운전시스템전공
61,국립한국교통대학교,철도공학부
61,국립한국교통대학교,AI교통응용전공
61,국립한국교통대학교,철도차량시스템공학과
61,국립한국교통대학교,철도전기정보공학과
61,국립한국교통대학교,철도차량시스템전공
61,명지대학교 자연캠퍼스,교통공학과
61,아주대학교,교통시스템공학과
61,한양대학교 ERICA캠퍼스,교통물류공학과
61,한라대학교,철도운전시스템학과
61,국립한국교통대학교,스마트철도교통공학과
61,국립한국교통대학교,건설환경도시교통공학부
61,국립공주대학교,도시・교통공학과
61,원광대학교,철도시스템공학부
61,경일대학교,철도학부
61,동양대학교,철도관제정보학과
61,동양대학교,철도운전ㆍ전기신호학과
61,동양대학교,철도기계시스템학과
61,동양대학교,철도운전관제학과
61,동양대학교,철도운전관제학부
61,동양대학교,철도차량시스템학과
61,동양대학교,철도운전제어학부
10038,서울사이버대학교,방위산업ㆍ국방경영학과
10038,세종대학교,국방시스템공학과
10038,한양사이버대학교,국방융합기술학과
10038,광주대학교,국방기술학부
10038,아주대학교,국방디지털융합학과
10038,한양대학교 ERICA캠퍼스,국방정보공학과
10038,우석대학교,국방기술학과
10038,우석대학교,군사기술학과
10038,유원대학교,국방인재개발학과
10038,원광대학교,국방기술학과
10038,호원대학교,국방기술학부
10038,호원대학교,국방과학기술학부
10038,호원대학교,군사과학기술학과
10038,호원대학교,국방무기체계학과
79,국립부경대학교,금속공학전공
79,동의대학교,금속소재공학전공
79,인하대학교,금속공학전공
79,조선대학교,용접.접합과학공학과
79,강원대학교,재료융합공학부 재료금속공학전공
79,건국대학교 글로컬캠퍼스,금속디자인전공
79,전북대학교,신소재공학부 금속시스템공학전공
79,동신대학교,보석귀금속학과
79,경상국립대학교,나노・신소재공학부(금속재료공학전공)
79,인제대학교,금형신소재공학과
79,홍익대학교 세종캠퍼스,재료공학부 금속공학전공
86,건국대학교,기계공학과
86,건국대학교,기계공학부
86,고려대학교,기계공학부
86,고려대학교,기계공학과
86,국민대학교,에너지기계공학전공
86,국민대학교,융합기계공학전공
86,국민대학교,기계시스템공학전공
86,국민대학교,기계공학부
86,국민대학교,기계공학전공
86,동국대학교,기계공학과
86,서강대학교,기계공학과
86,서울과학기술대학교,융합기계공학과
86,서울대학교,기계항공공학부(우주항공공학전공)
